County,Data Year,Population,Z Score,Number of Gas Cars,Number of EV
San Mateo,2016,763530,-0.1110909705564953,567082,9419
Santa Barbara,2016,444102,-0.1729498719464267,283308,1568
Santa Clara,2016,1923243,0.1134935120424675,1261508,33659
Santa Cruz,2016,275625,-0.2055763233829679,185146,2275
Shasta,2016,180374,-0.2240221772727094,126316,191
Sierra,2016,3222,-0.2583285877909769,3022,3
Siskiyou,2016,44497,-0.25033546835602,37724,35
Solano,2016,438420,-0.1740502209380542,292578,1645
Sonoma,2016,501553,-0.1618241855828238,359813,4089
Stanislaus,2016,537785,-0.1548076694503621,333680,810
Sutter,2016,96065,-0.2403490556843819,63565,70
Tehama,2016,64017,-0.2465553183531039,42937,33
Trinity,2016,15136,-0.2560213794336643,11388,18
Tulare,2016,461170,-0.1696445645565819,263354,281
Tuolumne,2016,55303,-0.248242829988627,46649,59
Ventura,2016,851155,-0.0941219314168684,584235,4449
Yolo,2016,211938,-0.2179096437331581,124121,933
Yuba,2016,76245,-0.2441873022549657,45695,68
Alameda,2017,1656919,0.061918477750633,1111061,24927
Amador,2017,38807,-0.2514373665894519,38303,92
Butte,2017,230412,-0.2143320570961771,162254,395
Calaveras,2017,45355,-0.2501693121724901,50157,115
Colusa,2017,21773,-0.2547360897016277,18276,12
Contra Costa,2017,1147957,-0.03664467316044,848104,12972
Del Norte,2017,27158,-0.2536932563119913,18299,47
El Dorado,2017,182695,-0.2235727034941865,161188,1322
Fresno,2017,983436,-0.0685050245246689,628363,3198
Glenn,2017,27786,-0.2535716408303402,23472,24
Humboldt,2017,138027,-0.2322228951094658,108338,960
Imperial,2017,180854,-0.223929222764441,149855,109
Inyo,2017,18880,-0.2552963342691706,18114,26
Kern,2017,883531,-0.087852149834163,558042,1493
Kings,2017,148079,-0.2302762727821445,86788,184
Lake,2017,67318,-0.2459160624535329,61025,203
Lassen,2017,32459,-0.2526666899613018,21564,8
Los Angeles,2017,10107312,1.69838124022971,6848320,85094
Madera,2017,154151,-0.2291003982525489,101652,281
Marin,2017,264366,-0.2077566875675392,203780,5262
Mariposa,2017,17501,-0.2555633848252167,18468,28
Mendocino,2017,91368,-0.2412586542788336,81333,601
Merced,2017,271094,-0.2064537752099767,177219,348
Modoc,2017,8979,-0.2572137146574324,7764,2
Mono,2017,13425,-0.2563527235245961,11550,22
Monterey,2017,437800,-0.1741702871779009,311513,1567
Napa,2017,140837,-0.2316787239256444,111695,1223
Nevada,2017,100998,-0.2393937544566983,89168,476
Orange,2017,3185541,0.3579441159554233,2339967,38954
Placer,2017,386586,-0.184088145899691,308969,2648
Plumas,2017,19365,-0.2552024114847743,20174,18
Riverside,2017,2355286,0.1971608966587508,1622197,9837
Sacramento,2017,1530548,0.0374460732414885,1046050,6966
San Benito,2017,60499,-0.2472365974366213,47857,347
San Bernardino,2017,2142339,0.155922597341591,1463174,7462
San Diego,2017,3279856,0.3762087085540413,2434586,23410
San Francisco,2017,867378,-0.0909802626926212,420275,7824
San Joaquin,2017,747119,-0.1142690464631477,507686,2332
San Luis Obispo,2017,282284,-0.204286773235969,220486,1648
San Mateo,2017,765207,-0.1107662107432325,637236,12702
Santa Barbara,2017,445716,-0.1726373124123741,317555,2376
Santa Clara,2017,1930897,0.1149757491388978,1402093,44448
Santa Cruz,2017,275410,-0.2056179592564631,206951,3062
Shasta,2017,180810,-0.2239377435943656,140389,296
Sierra,2017,3236,-0.2583258766178191,3392,3
Siskiyou,2017,44377,-0.2503587069830871,41854,48
Solano,2017,444713,-0.17283154860361,330279,2431
Sonoma,2017,502454,-0.161649702224595,400994,6263
Stanislaus,2017,545273,-0.1533575791213746,378035,1190
Sutter,2017,97649,-0.2400423058070961,71648,113
Tehama,2017,64304,-0.2464997393033684,47705,56
Trinity,2017,15381,-0.2559739339034023,12372,22
Tulare,2017,463514,-0.1691906367078711,299138,609
Tuolumne,2017,55133,-0.248275751376972,52475,95
Ventura,2017,850424,-0.0942634933867522,654094,6284
Yolo,2017,214387,-0.2174353820857636,140187,1374
Yuba,2017,77751,-0.2438956574852736,51477,101
Alameda,2018,1666247,0.0637248936946495,1111143,34732
Amador,2018,39708,-0.2512628832312231,38533,128
Butte,2018,231774,-0.2140682986789654,161666,588
Calaveras,2018,45367,-0.2501669883097834,50452,177
Colusa,2018,21808,-0.2547293117687332,18425,21
Contra Costa,2018,1155105,-0.0352604256081427,852483,18421
Del Norte,2018,27269,-0.2536717605819543,18683,64
El Dorado,2018,185303,-0.223067650665928,162960,1905
Fresno,2018,992091,-0.0668289385474538,641795,4154
Glenn,2018,27854,-0.2535584722750021,23835,35
Humboldt,2018,137893,-0.2322488449096908,107341,1170
Imperial,2018,181374,-0.2238285220471502,152977,163
Inyo,2018,18906,-0.255291299233306,18335,42
Kern,2018,891340,-0.0863398961777711,566986,2094
Kings,2018,150058,-0.2298930290907628,87961,273
Lake,2018,67890,-0.245805291664513,61418,265
Lassen,2018,32721,-0.2526159522922054,21578,14
Los Angeles,2018,10107841,1.698483683844031,6835247,115035
Madera,2018,155100,-0.2289166194434932,103610,362
Marin,2018,264099,-0.2078083935127635,202836,6991
Mariposa,2018,17398,-0.2555833313134493,18357,57
Mendocino,2018,91667,-0.2412007513663914,81304,726
Merced,2018,274768,-0.2057422859112722,181566,568
Modoc,2018,8943,-0.2572206862455525,7804,6
Mono,2018,13319,-0.2563732509785054,11640,31
Monterey,2018,438000,-0.1741315561327891,316496,2259
Napa,2018,139786,-0.2318822555677072,112241,1650
Nevada,2018,101640,-0.2392694278018893,89660,682
Orange,2018,3192479,0.3592876959103531,2346791,54835
Placer,2018,392693,-0.1829054934372008,315501,3839
Plumas,2018,19388,-0.2551979574145865,20474,28
Riverside,2018,2375547,0.2010845451838062,1651047,14204
Sacramento,2018,1547095,0.040650486258817,1059363,10450
San Benito,2018,61143,-0.2471118834713611,49468,479
San Bernardino,2018,2153258,0.1580371187494721,1484400,10823
San Diego,2018,3294139,0.3789746861407037,2443263,33830
San Francisco,2018,872724,-0.0899449818567816,414271,11278
San Joaquin,2018,755573,-0.1126318851862701,519661,3469
San Luis Obispo,2018,282754,-0.2041957552799562,221429,2476
San Mateo,2018,766114,-0.1105905654536503,641943,18271
Santa Barbara,2018,447377,-0.1723156510827203,319786,3354
Santa Clara,2018,1936569,0.1160741615782697,1399036,60245
Santa Cruz,2018,274274,-0.2058379515926984,206571,4004
Shasta,2018,181792,-0.2237475741628664,140931,442
Sierra,2018,3243,-0.2583245210312401,3379,6
Siskiyou,2018,44315,-0.2503707136070717,41672,69
Solano,2018,447744,-0.17224457961494,335672,3421
Sonoma,2018,499410,-0.1622391887311972,400422,8008
Stanislaus,2018,548363,-0.1527591844743966,385092,1605
Sutter,2018,99498,-0.2396842372950371,72395,174
Tehama,2018,64789,-0.2464058165189722,47941,75
Trinity,2018,15642,-0.2559233898895313,12032,26
Tulare,2018,466766,-0.1685608699143525,303924,853
Tuolumne,2018,55213,-0.2482602589589273,53097,136
Ventura,2018,850604,-0.0942286354461516,656711,8930
Yolo,2018,215708,-0.2171795635327998,141511,2016
Yuba,2018,78751,-0.2437020022597143,52265,148
Alameda,2019,1675964,0.0656066415214084,1110435,42887
Amador,2019,40227,-0.2511623761691579,39132,175
Butte,2019,227263,-0.214941877401463,154139,796
Calaveras,2019,45324,-0.2501753154844825,50718,224
