Data Year,County,Population,Population Z Score,Adult Population,Average PM 2.5/County,Number of Site IDs/County,County Latitude,County Longitude,Number of Gas Cars,Number of EV
2014,Madera,152067,-0.35902866189179294,110097.0,12.324137931034484,2,37.03,-119.94,84033.0,85.0
2014,Marin,261931,-0.28266533636290514,207711.0,8.939130434782609,2,38.02,-122.66,180602.0,1866.0
2014,Mendocino,89569,-0.40246923495398285,69953.0,8.542857142857143,2,39.3,-123.29,69253.0,130.0
2014,Merced,264670,-0.2807615357674087,185534.0,10.709090909090909,2,37.29,-120.45,143703.0,91.0
2014,Monterey,427425,-0.16763518822449988,314585.0,5.010526315789474,3,36.51,-121.55,259198.0,509.0
2014,Napa,140114,-0.36733685047082515,109989.0,10.866666666666667,1,38.31,-122.3,95647.0,423.0
2014,Nevada,99490,-0.395573431482672,81582.0,4.2,2,39.31,-120.36,76068.0,113.0
2014,Orange,3125985,1.708056719399794,2407008.0,13.088888888888889,2,33.81,-117.91,1991231.0,12690.0
2014,Placer,369910,-0.20761222044428054,285201.0,9.31842105263158,2,38.84,-121.18,258140.0,882.0
2014,Riverside,2280208,1.1201813063814612,1680513.0,14.747938144329897,11,33.86,-117.22,1317751.0,2933.0
2014,Sacramento,1476829,0.5617755310585861,1116483.0,7.502247191011237,4,38.61,-121.38,863881.0,2229.0
2014,San Bernardino,2096526,0.9925091994146917,1526271.0,10.364285714285714,7,34.16,-117.36,1201860.0,2295.0
2014,San Diego,3219710,1.7732022874220308,2501715.0,8.780147058823529,9,32.97,-116.99,2045488.0,8186.0
2014,San Francisco,846661,0.12376376995496566,733208.0,6.527777777777778,1,37.77,-122.4,373808.0,2618.0
2014,San Joaquin,712387,0.030433751276728208,514343.0,10.902777777777779,3,37.86,-121.3,409085.0,537.0
2014,San Luis Obispo,278272,-0.2713071744311754,227348.0,8.597222222222221,4,35.21,-120.62,189554.0,476.0
2014,San Mateo,751906,0.0579022783791104,590998.0,5.983333333333333,1,37.48,-122.2,545796.0,4491.0
2014,Santa Barbara,437066,-0.1609340047483475,339163.0,7.543103448275862,4,34.62,-119.99,268208.0,755.0
2014,Santa Clara,1883691,0.8445736755948705,1448558.0,8.578,3,37.26,-121.81,1204964.0,16156.0
2014,Santa Cruz,271559,-0.2759731888150994,217519.0,8.542307692307691,3,37.0,-122.01,176901.0,1090.0
2014,Shasta,180826,-0.3390391031747857,141768.0,4.771428571428571,4,40.59,-122.05,121875.0,97.0
2014,Solano,428671,-0.16676912924604476,330505.0,8.405128205128205,1,38.1,-122.24,274494.0,767.0
2014,Sonoma,496615,-0.11954319727802291,394312.0,8.283333333333333,1,38.4,-122.82,343411.0,1821.0
2014,Stanislaus,528123,-0.0976428872514064,383945.0,13.63,2,37.56,-120.91,307763.0,238.0
2014,Sutter,95103,-0.3986227097639582,70376.0,9.986486486486486,1,39.14,-121.62,59875.0,34.0
2014,Tulare,455774,-0.14793060878611752,311749.0,17.280392156862746,3,36.24,-119.15,244945.0,126.0
2014,Ventura,846456,0.12362128031565323,641614.0,9.251401869158878,5,34.31,-118.92,557822.0,2243.0
2014,Yolo,206708,-0.3210492649080316,161852.0,8.77,2,38.55,-121.77,117003.0,498.0
2015,Alameda,1622205,0.6628222325448564,1279920.0,8.829577464788732,4,37.76,-122.13,962566.0,13197.0
2015,Butte,227400,-0.3066668472658217,181693.0,8.832394366197184,3,39.72,-121.73,139988.0,178.0
2015,Contra Costa,1120530,0.31412228229086253,860567.0,9.244117647058824,2,37.94,-122.13,730630.0,6769.0
2015,El Dorado,180914,-0.338977936890593,143827.0,2.9333333333333336,2,38.95,-120.04,137350.0,679.0
2015,Fresno,968417,0.2083928847067976,691450.0,12.094262295081966,6,36.65,-119.9,530921.0,1306.0
2015,Humboldt,136542,-0.36981964555191804,109916.0,7.521875,3,40.81,-124.07,94136.0,455.0
2015,Imperial,179769,-0.3397737936565089,128894.0,10.813432835820896,3,32.71,-115.49,122830.0,42.0
